date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-42-11 | 1
2012-01-11 | 2147483648
date | value
2012-01-11 | 2147544554549999999999999999214754455454999999999999999921475445545499999999999999992147544554549999999999999999
 | 2012-01-14 45 45
2012-01-1 | 2147483648
2030-01-01 | 
|
 |
 | 
| 150
 | 150
2011-01-09| 1
2011-01-09 |1
2011-01-09|1
2011-01-09 | 15  abcdef
2011-01-09 | 15 14
2011-01-01 | 15 .
2011-01-10 | ----15
2011-01-10 | +15
2011-01-01 | 1
2011-01-01 | 0
2011-01-01 | 1001
2011-01-01 | 1000
2010-08-19 | 10
2010-08-20 | 10
2005-01-01 | 11
2030-01-01 | 10
2009-01-01 | 17
2009-01-02 | 17
2022-03-30 | 19
2022-03-29 | 19
